"rk","tm","year","date","time","ltime","","opp","week","g","day","result","ot","tot","ply","ypp","dply","dypp","to","top","time"
"228","NYJ","2000","2000-10-23","9:10","9:10","","MIA","8","7","Mon","W 40-37","OT","455","82","5.5488","75","5.7733","4","30:36","4:10"
"229","ATL","2000","2000-10-29","1:02","1:02","","CAR","9","9","Sun","W 13-12","","281","57","4.9298","66","3.1667","3","31:37","3:07"
"230","BUF","2000","2000-10-29","1:01","1:01","","NYJ","9","8","Sun","W 23-20","","338","65","5.2000","59","5.7119","","30:23","3:03"
"231","CAR","2000","2000-10-29","1:02","1:02","@","ATL","9","8","Sun","L 12-13","","209","66","3.1667","57","4.9298","4","28:23","3:07"
"232","CIN","2000","2000-10-29","1:03","1:03","@","CLE","9","8","Sun","W 12-3","","253","75","3.3733","54","3.3704","1","36:42","2:51"
"233","CLE","2000","2000-10-29","1:03","1:03","","CIN","9","9","Sun","L 3-12","","182","54","3.3704","75","3.3733","1","23:18","2:51"
"234","IND","2000","2000-10-29","2:00","1:00","","DET","9","8","Sun","W 30-18","","420","65","6.4615","65","5.0462","5","34:14","3:21"
"235","ARI","2000","2000-10-29","4:05","2:05","","NOR","9","8","Sun","L 10-21","","394","77","5.1169","57","4.3333","4","33:19","3:02"
"236","DAL","2000","2000-10-29","4:15","3:15","","JAX","9","8","Sun","L 17-23","OT","325","59","5.5085","62","6.3226","3","30:08","2:58"
"237","DET","2000","2000-10-29","2:00","1:00","@","IND","9","8","Sun","L 18-30","","328","65","5.0462","65","6.4615","4","25:46","3:21"
"238","GNB","2000","2000-10-29","1:02","1:02","@","MIA","9","8","Sun","L 20-28","","319","60","5.3167","56","5.2857","2","31:41","3:53"
"239","JAX","2000","2000-10-29","4:15","3:15","@","DAL","9","9","Sun","W 23-17","OT","392","62","6.3226","59","5.5085","","33:36","2:58"
"240","KAN","2000","2000-10-29","4:16","1:16","@","SEA","9","8","Sun","W 24-19","","410","62","6.6129","70","5.0143","3","30:40","3:10"
"241","MIA","2000","2000-10-29","1:02","1:02","","GNB","9","8","Sun","W 28-20","","296","56","5.2857","60","5.3167","1","28:19","3:53"
"242","MIN","2000","2000-10-29","1:01","1:01","@","TAM","9","8","Sun","L 13-41","","401","72","5.5694","49","8.4286","3","32:13","3:00"
