"season","week","tm_home","tm_away","line_home","pts_home","pts_away","tm_winner_straight","tm_winner_spread","line_1","line_2","tm_1","tm_2","pts_1","pts_2","pd_1","pd_2","wp_eoy_1","pftd_1","patd_1","pdtd_1","wptd_1","w_lastn_1","pd_lastn_1","pd_wlastn_1","wp_lastn_1","wp_wlastn_1","wp_eoy_2","pftd_2","patd_2","pdtd_2","wptd_2","w_lastn_2","pd_lastn_2","pd_wlastn_2","wp_lastn_2","wp_wlastn_2","wp_eoy_diff","pftd_diff","patd_diff","pdtd_diff","wptd_diff","wp_lastn_diff","wp_wlastn_diff","pd_lastn_diff","pd_wlastn_diff"
2000,1,"CLE","JAX",10.5,7,27,"JAX","JAX",-10.5,10.5,"JAX","CLE",27,7,20,-20,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"KAN","IND",3.5,14,27,"IND","IND",3.5,-3.5,"KAN","IND",14,27,-13,13,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"MIA","SEA",-2,23,0,"MIA","MIA",-2,2,"MIA","SEA",23,0,23,-23,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"MIN","CHI",-4.5,30,27,"MIN","CHI",-4.5,4.5,"MIN","CHI",30,27,3,-3,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"NOR","DET",0,10,14,"DET","DET",0,0,"NOR","DET",10,14,-4,4,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"NWE","TAM",3,16,21,"TAM","TAM",3,-3,"NWE","TAM",16,21,-5,5,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.6,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"NYG","ARI",-6.5,21,16,"NYG","ARI",-6.5,6.5,"NYG","ARI",21,16,5,-5,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"GNB","NYJ",-2.5,16,20,"NYJ","NYJ",2.5,-2.5,"NYJ","GNB",20,16,4,-4,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"OAK","SDG",-6.5,9,6,"OAK","SDG",-6.5,6.5,"OAK","SDG",9,6,3,-3,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"DAL","PHI",-6,14,41,"PHI","PHI",6,-6,"PHI","DAL",41,14,27,-27,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"PIT","BAL",2.5,0,16,"BAL","BAL",2.5,-2.5,"PIT","BAL",0,16,-16,16,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.8,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"OAK","SDG",-6.5,9,6,"OAK","SDG",6.5,-6.5,"SDG","OAK",6,9,-3,3,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"MIA","SEA",-2,23,0,"MIA","MIA",2,-2,"SEA","MIA",0,23,-23,23,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.2,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"ATL","SFO",-6.5,36,28,"ATL","ATL",6.5,-6.5,"SFO","ATL",28,36,-8,8,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"STL","DEN",-6.5,41,36,"STL","DEN",-6.5,6.5,"STL","DEN",41,36,5,-5,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.90000000000001,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"NWE","TAM",3,16,21,"TAM","TAM",-3,3,"TAM","NWE",21,16,5,-5,58.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"BUF","TEN",-1,16,13,"BUF","BUF",1,-1,"TEN","BUF",13,16,-3,3,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA
2000,1,"WAS","CAR",-10.5,20,17,"WAS","CAR",-10.5,10.5,"WAS","CAR",20,17,3,-3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA
2000,2,"ARI","DAL",-3,32,31,"ARI","DAL",-3,3,"ARI","DAL",32,31,1,-1,18.8,16,21,-5,0,4,-7.1,-10.9818181818182,0.4,0.254545454545455,31.2,14,41,-27,0,4,-1.1,-5.92727272727273,0.4,0.309090909090909,-12.4,2,-20,27,0,0,-0.0545454545454546,-6,-5.05454545454545
2000,2,"DEN","ATL",-4.5,42,14,"DEN","DEN",4.5,-4.5,"ATL","DEN",14,42,-28,28,25,36,28,8,1,5,-0.4,2.34545454545455,0.5,0.6,64.7,36,41,-5,0,4,1.2,0.254545454545455,0.4,0.381818181818182,-39.7,0,-13,6,1,0.1,0.218181818181818,-1.6,2.09090909090909
2000,2,"BAL","JAX",-3,39,36,"BAL","na",-3,3,"BAL","JAX",39,36,3,-3,80,16,0,16,1,7,10.3,9.6,0.7,0.727272727272727,43.8,27,7,20,1,8,9.8,10.2181818181818,0.8,0.727272727272727,36.2,-11,-7,-19,0,-0.1,0,0.5,-0.618181818181819
2000,2,"BUF","GNB",-6,27,18,"BUF","BUF",-6,6,"BUF","GNB",27,18,9,-9,50,16,13,3,1,7,7,5.70909090909091,0.7,0.690909090909091,56.2,16,20,-4,0,4,2.3,2.52727272727273,0.4,0.381818181818182,-6.2,0,-7,5,1,0.3,0.309090909090909,4.7,3.18181818181818
2000,2,"SFO","CAR",3,22,38,"CAR","CAR",-3,3,"CAR","SFO",38,22,16,-16,43.8,17,20,-3,0,6,4.6,5.2,0.6,0.545454545454545,37.5,28,36,-8,0,1,-10.3,-7.65454545454545,0.1,0.109090909090909,6.3,-11,-16,8,0,0.5,0.436363636363636,14.9,12.8545454545455
2000,2,"TAM","CHI",-7,41,0,"TAM","TAM",7,-7,"CHI","TAM",0,41,-41,41,31.2,27,30,-3,0,3,-6.6,-6.23636363636364,0.3,0.236363636363636,58.8,21,16,5,1,8,2.5,1.52727272727273,0.8,0.745454545454545,-27.6,6,14,-5,-1,-0.5,-0.509090909090909,-9.1,-7.76363636363636
2000,2,"CIN","CLE",-6,7,24,"CLE","CLE",-6,6,"CIN","CLE",7,24,-17,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,7,27,-20,0,2,-11.2,-11.8363636363636,0.2,0.0727272727272727,6.2,NA,NA,NA,NA,NA,NA,NA,NA
2000,2,"CIN","CLE",-6,7,24,"CLE","CLE",6,-6,"CLE","CIN",24,7,17,-17,18.8,7,27,-20,0,2,-11.2,-11.8363636363636,0.2,0.0727272727272727,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.2,NA,NA,NA,NA,NA,NA,NA,NA
2000,2,"ARI","DAL",-3,32,31,"ARI","DAL",3,-3,"DAL","ARI",31,32,-1,1,31.2,14,41,-27,0,4,-1.1,-5.92727272727273,0.4,0.309090909090909,18.8,16,21,-5,0,4,-7.1,-10.9818181818182,0.4,0.254545454545455,12.4,-2,20,5,0,0,0.0545454545454546,6,5.05454545454545
2000,2,"DEN","ATL",-4.5,42,14,"DEN","DEN",-4.5,4.5,"DEN","ATL",42,14,28,-28,64.7,36,41,-5,0,4,1.2,0.254545454545455,0.4,0.381818181818182,25,36,28,8,1,5,-0.4,2.34545454545455,0.5,0.6,39.7,0,13,-8,-1,-0.1,-0.218181818181818,1.6,-2.09090909090909
2000,2,"DET","WAS",5.5,15,10,"DET","DET",5.5,-5.5,"DET","WAS",15,10,5,-5,56.2,14,10,4,1,3,-4.5,-5.47272727272727,0.3,0.309090909090909,50,20,17,3,1,7,5.2,5.43636363636364,0.7,0.690909090909091,6.2,-6,-7,-2,0,-0.4,-0.381818181818182,-9.7,-10.9090909090909
2000,2,"BUF","GNB",-6,27,18,"BUF","BUF",6,-6,"GNB","BUF",18,27,-9,9,56.2,16,20,-4,0,4,2.3,2.52727272727273,0.4,0.381818181818182,50,16,13,3,1,7,7,5.70909090909091,0.7,0.690909090909091,6.2,0,7,-3,-1,-0.3,-0.309090909090909,-4.7,-3.18181818181818
2000,2,"IND","OAK",-6.5,31,38,"OAK","OAK",-6.5,6.5,"IND","OAK",31,38,-7,7,58.8,27,14,13,1,8,3.9,0.872727272727273,0.8,0.690909090909091,72.2,9,6,3,1,5,5.3,6.4,0.5,0.6,-13.4,18,8,-2,0,0.3,0.0909090909090909,-1.4,-5.52727272727273
2000,2,"BAL","JAX",-3,39,36,"BAL","na",3,-3,"JAX","BAL",36,39,-3,3,43.8,27,7,20,1,8,9.8,10.2181818181818,0.8,0.727272727272727,80,16,0,16,1,7,10.3,9.6,0.7,0.727272727272727,-36.2,11,7,-15,0,0.1,0,-0.5,0.618181818181819
2000,2,"TEN","KAN",-8.5,17,14,"TEN","KAN",8.5,-8.5,"KAN","TEN",14,17,-3,3,43.8,14,27,-13,0,4,-2.4,-2.09090909090909,0.4,0.4,76.5,13,16,-3,0,7,4.9,5.54545454545455,0.7,0.636363636363636,-32.7,1,11,3,0,-0.3,-0.236363636363636,-7.3,-7.63636363636364
2000,2,"MIN","MIA",-3,13,7,"MIN","MIN",3,-3,"MIA","MIN",7,13,-6,6,66.7,23,0,23,1,4,-6.5,-7.56363636363636,0.4,0.436363636363636,66.7,30,27,3,1,7,3.7,3.90909090909091,0.7,0.709090909090909,0,-7,-27,-2,0,-0.3,-0.272727272727273,-10.2,-11.4727272727273
2000,2,"MIN","MIA",-3,13,7,"MIN","MIN",-3,3,"MIN","MIA",13,7,6,-6,66.7,30,27,3,1,7,3.7,3.90909090909091,0.7,0.709090909090909,66.7,23,0,23,1,4,-6.5,-7.56363636363636,0.4,0.436363636363636,0,7,27,-22,0,0.3,0.272727272727273,10.2,11.4727272727273
2000,2,"SDG","NOR",-5.5,27,28,"NOR","NOR",5.5,-5.5,"NOR","SDG",28,27,1,-1,61.1,10,14,-4,0,2,-13.7,-14.5636363636364,0.2,0.181818181818182,6.2,6,9,-3,0,4,-2.7,0.272727272727273,0.4,0.509090909090909,54.9,4,5,3,0,-0.2,-0.327272727272727,-11,-14.8363636363636
2000,2,"NYJ","NWE",-6.5,20,19,"NYJ","NWE",6.5,-6.5,"NWE","NYJ",19,20,-1,1,31.2,16,21,-5,0,3,-0.7,-1.47272727272727,0.3,0.272727272727273,56.2,20,16,4,1,8,3.2,3.58181818181818,0.8,0.836363636363636,-25,-4,5,-4,-1,-0.5,-0.563636363636364,-3.9,-5.05454545454545
2000,2,"PHI","NYG",-3,18,33,"NYG","NYG",3,-3,"NYG","PHI",33,18,15,-15,73.7,21,16,5,1,4,-4.8,-5.6,0.4,0.4,66.7,41,14,27,1,4,-2,3.61818181818182,0.4,0.545454545454545,7,-20,2,-26,0,0,-0.145454545454545,-2.8,-9.21818181818182
2000,2,"NYJ","NWE",-6.5,20,19,"NYJ","NWE",-6.5,6.5,"NYJ","NWE",20,19,1,-1,56.2,20,16,4,1,8,3.2,3.58181818181818,0.8,0.836363636363636,31.2,16,21,-5,0,3,-0.7,-1.47272727272727,0.3,0.272727272727273,25,4,-5,6,1,0.5,0.563636363636364,3.9,5.05454545454545
2000,2,"IND","OAK",-6.5,31,38,"OAK","OAK",6.5,-6.5,"OAK","IND",38,31,7,-7,72.2,9,6,3,1,5,5.3,6.4,0.5,0.6,58.8,27,14,13,1,8,3.9,0.872727272727273,0.8,0.690909090909091,13.4,-18,-8,-12,0,-0.3,-0.0909090909090909,1.4,5.52727272727273
2000,2,"PHI","NYG",-3,18,33,"NYG","NYG",-3,3,"PHI","NYG",18,33,-15,15,66.7,41,14,27,1,4,-2,3.61818181818182,0.4,0.545454545454545,73.7,21,16,5,1,4,-4.8,-5.6,0.4,0.4,-7,20,-2,-4,0,0,0.145454545454545,2.8,9.21818181818182
2000,2,"SDG","NOR",-5.5,27,28,"NOR","NOR",-5.5,5.5,"SDG","NOR",27,28,-1,1,6.2,6,9,-3,0,4,-2.7,0.272727272727273,0.4,0.509090909090909,61.1,10,14,-4,0,2,-13.7,-14.5636363636364,0.2,0.181818181818182,-54.9,-4,-5,4,0,0.2,0.327272727272727,11,14.8363636363636
2000,2,"SEA","STL",7.5,34,37,"STL","SEA",7.5,-7.5,"SEA","STL",34,37,-3,3,37.5,0,23,-23,0,3,-4.3,-6.78181818181818,0.3,0.181818181818182,58.8,41,36,5,1,9,12.5,8.98181818181818,0.9,0.890909090909091,-21.3,-41,-13,-5,-1,-0.6,-0.709090909090909,-16.8,-15.7636363636364
2000,2,"SFO","CAR",3,22,38,"CAR","CAR",3,-3,"SFO","CAR",22,38,-16,16,37.5,28,36,-8,0,1,-10.3,-7.65454545454545,0.1,0.109090909090909,43.8,17,20,-3,0,6,4.6,5.2,0.6,0.545454545454545,-6.3,11,16,3,0,-0.5,-0.436363636363636,-14.9,-12.8545454545455
2000,2,"SEA","STL",7.5,34,37,"STL","SEA",-7.5,7.5,"STL","SEA",37,34,3,-3,58.8,41,36,5,1,9,12.5,8.98181818181818,0.9,0.890909090909091,37.5,0,23,-23,0,3,-4.3,-6.78181818181818,0.3,0.181818181818182,21.3,41,13,24,1,0.6,0.709090909090909,16.8,15.7636363636364
2000,2,"TAM","CHI",-7,41,0,"TAM","TAM",-7,7,"TAM","CHI",41,0,41,-41,58.8,21,16,5,1,8,2.5,1.52727272727273,0.8,0.745454545454545,31.2,27,30,-3,0,3,-6.6,-6.23636363636364,0.3,0.236363636363636,27.6,-6,-14,4,1,0.5,0.509090909090909,9.1,7.76363636363636
2000,2,"TEN","KAN",-8.5,17,14,"TEN","KAN",-8.5,8.5,"TEN","KAN",17,14,3,-3,76.5,13,16,-3,0,7,4.9,5.54545454545455,0.7,0.636363636363636,43.8,14,27,-13,0,4,-2.4,-2.09090909090909,0.4,0.4,32.7,-1,-11,13,0,0.3,0.236363636363636,7.3,7.63636363636364
2000,2,"DET","WAS",5.5,15,10,"DET","DET",-5.5,5.5,"WAS","DET",10,15,-5,5,50,20,17,3,1,7,5.2,5.43636363636364,0.7,0.690909090909091,56.2,14,10,4,1,3,-4.5,-5.47272727272727,0.3,0.309090909090909,-6.2,6,7,-3,0,0.4,0.381818181818182,9.7,10.9090909090909
2000,3,"CAR","ATL",-6,10,15,"ATL","ATL",6,-6,"ATL","CAR",15,10,5,-5,25,25,35,-10,0.5,4,-3.9,-2.67272727272727,0.4,0.509090909090909,43.8,27.5,21,6.5,0.5,6,3.6,7.27272727272727,0.6,0.618181818181818,-18.8,-2.5,14,-6,0,-0.2,-0.109090909090909,-7.5,-9.94545454545455
2000,3,"MIA","BAL",1.5,19,6,"MIA","MIA",-1.5,1.5,"BAL","MIA",6,19,-13,13,80,27.5,18,9.5,1,7,7.4,8.27272727272727,0.7,0.781818181818182,66.7,15,6.5,8.5,0.5,3,-8.1,-7.47272727272727,0.3,0.363636363636364,13.3,12.5,11.5,-7.5,0.5,0.4,0.418181818181818,15.5,15.7454545454545
2000,3,"NYJ","BUF",-1,27,14,"NYJ","NYJ",1,-1,"BUF","NYJ",14,27,-13,13,50,21.5,15.5,6,1,7,6.2,6.07272727272727,0.7,0.745454545454545,56.2,20,17.5,2.5,1,8,2.8,3.18181818181818,0.8,0.872727272727273,-6.2,1.5,-2,-1.5,0,-0.1,-0.127272727272727,3.4,2.89090909090909
2000,3,"CAR","ATL",-6,10,15,"ATL","ATL",-6,6,"CAR","ATL",10,15,-5,5,43.8,27.5,21,6.5,0.5,6,3.6,7.27272727272727,0.6,0.618181818181818,25,25,35,-10,0.5,4,-3.9,-2.67272727272727,0.4,0.509090909090909,18.8,2.5,-14,10.5,0,0.2,0.109090909090909,7.5,9.94545454545455
2000,3,"CHI","NYG",-2,7,14,"NYG","NYG",-2,2,"CHI","NYG",7,14,-7,7,31.2,13.5,35.5,-22,0,3,-8.1,-12.4909090909091,0.3,0.181818181818182,73.7,27,17,10,1,4,-3.9,-2,0.4,0.509090909090909,-42.5,-13.5,18.5,-10,-1,-0.1,-0.327272727272727,-4.2,-10.4909090909091
2000,3,"JAX","CIN",-13,13,0,"JAX","na",13,-13,"CIN","JAX",0,13,-13,13,25,7,24,-17,0,3,-8,-6.81818181818182,0.3,0.327272727272727,43.8,31.5,23,8.5,0.5,7,7.7,7.89090909090909,0.7,0.581818181818182,-18.8,-24.5,1,-8.5,-0.5,-0.4,-0.254545454545455,-15.7,-14.7090909090909
2000,3,"CLE","PIT",2.5,23,20,"CLE","CLE",2.5,-2.5,"CLE","PIT",23,20,3,-3,18.8,15.5,17,-1.5,0.5,2,-10,-6.70909090909091,0.2,0.218181818181818,56.2,0,16,-16,0,2,-4.7,-7.81818181818182,0.2,0.163636363636364,-37.4,15.5,1,16.5,0.5,0,0.0545454545454545,-5.3,1.10909090909091
2000,3,"WAS","DAL",-10.5,21,27,"DAL","DAL",10.5,-10.5,"DAL","WAS",27,21,6,-6,31.2,22.5,36.5,-14,0,3,-2.6,-5.90909090909091,0.3,0.236363636363636,50,15,16,-1,0.5,6,3.7,3.58181818181818,0.6,0.563636363636364,-18.8,7.5,20.5,1,-0.5,-0.3,-0.327272727272727,-6.3,-9.49090909090909
2000,3,"OAK","DEN",-3,24,33,"DEN","DEN",3,-3,"DEN","OAK",33,24,9,-9,64.7,39,27.5,11.5,0.5,5,4.3,5.12727272727273,0.5,0.490909090909091,72.2,23.5,18.5,5,1,6,6.7,6.70909090909091,0.6,0.690909090909091,-7.5,15.5,9,-4.5,-0.5,-0.1,-0.2,-2.4,-1.58181818181818
2000,3,"DET","TAM",3,10,31,"TAM","TAM",3,-3,"DET","TAM",10,31,-21,21,56.2,14.5,10,4.5,1,4,-3.6,-3.74545454545455,0.4,0.436363636363636,58.8,31,8,23,1,8,5.7,8.52727272727273,0.8,0.781818181818182,-2.59999999999999,-16.5,2,-22,0,-0.4,-0.345454545454546,-9.3,-12.2727272727273
2000,3,"GNB","PHI",-4,6,3,"GNB","PHI",-4,4,"GNB","PHI",6,3,3,-3,56.2,17,23.5,-6.5,0,4,1.5,0.472727272727273,0.4,0.309090909090909,66.7,29.5,23.5,6,0.5,4,-2.9,1.25454545454545,0.4,0.472727272727273,-10.5,-12.5,0,-6,-0.5,0,-0.163636363636364,4.4,-0.781818181818182
2000,3,"JAX","CIN",-13,13,0,"JAX","na",-13,13,"JAX","CIN",13,0,13,-13,43.8,31.5,23,8.5,0.5,7,7.7,7.89090909090909,0.7,0.581818181818182,25,7,24,-17,0,3,-8,-6.81818181818182,0.3,0.327272727272727,18.8,24.5,-1,17.5,0.5,0.4,0.254545454545455,15.7,14.7090909090909
2000,3,"KAN","SDG",-4.5,42,10,"KAN","KAN",-4.5,4.5,"KAN","SDG",42,10,32,-32,43.8,14,22,-8,0,4,-1.9,-2.2,0.4,0.327272727272727,6.2,16.5,18.5,-2,0,4,-1.2,0.581818181818182,0.4,0.436363636363636,37.6,-2.5,3.5,2,0,0,-0.109090909090909,-0.7,-2.78181818181818
2000,3,"MIA","BAL",1.5,19,6,"MIA","MIA",1.5,-1.5,"MIA","BAL",19,6,13,-13,66.7,15,6.5,8.5,0.5,3,-8.1,-7.47272727272727,0.3,0.363636363636364,80,27.5,18,9.5,1,7,7.4,8.27272727272727,0.7,0.781818181818182,-13.3,-12.5,-11.5,-9,-0.5,-0.4,-0.418181818181818,-15.5,-15.7454545454545
2000,3,"NWE","MIN",-1.5,13,21,"MIN","MIN",1.5,-1.5,"MIN","NWE",21,13,8,-8,66.7,21.5,17,4.5,1,7,4,4.32727272727273,0.7,0.763636363636364,31.2,17.5,20.5,-3,0,2,-3.2,-1.52727272727273,0.2,0.218181818181818,35.5,4,-3.5,4,1,0.5,0.545454545454546,7.2,5.85454545454545
2000,3,"SEA","NOR",-6,20,10,"SEA","SEA",6,-6,"NOR","SEA",10,20,-10,10,61.1,19,20.5,-1.5,0.5,3,-12.1,-11.8909090909091,0.3,0.327272727272727,37.5,17,30,-13,0,2,-4.9,-6.54545454545455,0.2,0.127272727272727,23.6,2,-9.5,13.5,0.5,0.1,0.2,-7.2,-5.34545454545454
2000,3,"NWE","MIN",-1.5,13,21,"MIN","MIN",-1.5,1.5,"NWE","MIN",13,21,-8,8,31.2,17.5,20.5,-3,0,2,-3.2,-1.52727272727273,0.2,0.218181818181818,66.7,21.5,17,4.5,1,7,4,4.32727272727273,0.7,0.763636363636364,-35.5,-4,3.5,-4.5,-1,-0.5,-0.545454545454546,-7.2,-5.85454545454545
2000,3,"CHI","NYG",-2,7,14,"NYG","NYG",2,-2,"NYG","CHI",14,7,7,-7,73.7,27,17,10,1,4,-3.9,-2,0.4,0.509090909090909,31.2,13.5,35.5,-22,0,3,-8.1,-12.4909090909091,0.3,0.181818181818182,42.5,13.5,-18.5,23,1,0.1,0.327272727272727,4.2,10.4909090909091
2000,3,"NYJ","BUF",-1,27,14,"NYJ","NYJ",-1,1,"NYJ","BUF",27,14,13,-13,56.2,20,17.5,2.5,1,8,2.8,3.18181818181818,0.8,0.872727272727273,50,21.5,15.5,6,1,7,6.2,6.07272727272727,0.7,0.745454545454545,6.2,-1.5,2,-5,0,0.1,0.127272727272727,-3.4,-2.89090909090909
2000,3,"OAK","DEN",-3,24,33,"DEN","DEN",-3,3,"OAK","DEN",24,33,-9,9,72.2,23.5,18.5,5,1,6,6.7,6.70909090909091,0.6,0.690909090909091,64.7,39,27.5,11.5,0.5,5,4.3,5.12727272727273,0.5,0.490909090909091,7.5,-15.5,-9,-10.5,0.5,0.1,0.2,2.4,1.58181818181818
2000,3,"GNB","PHI",-4,6,3,"GNB","PHI",4,-4,"PHI","GNB",3,6,-3,3,66.7,29.5,23.5,6,0.5,4,-2.9,1.25454545454545,0.4,0.472727272727273,56.2,17,23.5,-6.5,0,4,1.5,0.472727272727273,0.4,0.309090909090909,10.5,12.5,0,7,0.5,0,0.163636363636364,-4.4,0.781818181818182
